Date,Close
1996-12-30,748.030029
1997-01-06,759.500000
1997-01-13,776.169983
1997-01-20,770.520020
1997-01-27,786.159973
1997-02-03,789.559998
1997-02-10,808.479980
1997-02-17,801.770020
1997-02-24,790.820007
1997-03-03,804.969971
1997-03-10,793.169983
1997-03-17,784.099976
1997-03-24,773.880005
1997-03-31,757.900024
1997-04-07,737.650024
1997-04-14,766.340027
1997-04-21,765.369995
1997-04-28,812.969971
1997-05-05,824.780029
1997-05-12,829.750000
1997-05-19,847.030029
1997-05-26,848.280029
1997-06-02,858.010010
1997-06-09,893.270020
1997-06-16,898.700012
1997-06-23,887.299988
1997-06-30,916.919983
1997-07-07,916.679993
1997-07-14,915.299988
1997-07-21,938.789978
1997-07-28,947.140015
1997-08-04,933.539978
1997-08-11,900.809998
1997-08-18,923.539978
1997-08-25,899.469971
1997-09-01,929.049988
1997-09-08,923.909973
1997-09-15,950.510010
1997-09-22,945.219971
1997-09-29,965.030029
1997-10-06,966.979980
1997-10-13,944.159973
1997-10-20,941.640015
1997-10-27,914.619995
1997-11-03,927.510010
1997-11-10,928.349976
1997-11-17,963.090027
1997-11-24,955.400024
1997-12-01,983.789978
1997-12-08,953.390015
1997-12-15,946.780029
1997-12-22,936.460022
1997-12-29,975.039978
1998-01-05,927.690002
1998-01-12,961.510010
1998-01-19,957.590027
1998-01-26,980.280029
1998-02-02,1012.460022
1998-02-09,1020.090027
1998-02-16,1034.209961
1998-02-23,1049.339966
1998-03-02,1055.689941
1998-03-09,1068.609985
1998-03-16,1099.160034
1998-03-23,1095.439941
1998-03-30,1122.699951
1998-04-06,1110.670044
1998-04-13,1122.719971
1998-04-20,1107.900024
1998-04-27,1121.000000
1998-05-04,1108.140015
1998-05-11,1108.729980
1998-05-18,1110.469971
1998-05-25,1090.819946
1998-06-01,1113.859985
1998-06-08,1098.839966
1998-06-15,1100.650024
1998-06-22,1133.199951
1998-06-29,1146.420044
1998-07-06,1164.329956
1998-07-13,1186.750000
1998-07-20,1140.800049
1998-07-27,1120.670044
1998-08-03,1089.449951
1998-08-10,1062.750000
1998-08-17,1081.239990
1998-08-24,1027.140015
1998-08-31,973.890015
1998-09-07,1009.059998
1998-09-14,1020.090027
1998-09-21,1044.750000
1998-09-28,1002.599976
1998-10-05,984.390015
1998-10-12,1056.420044
1998-10-19,1070.670044
1998-10-26,1098.670044
1998-11-02,1141.010010
1998-11-09,1125.719971
1998-11-16,1163.550049
1998-11-23,1192.329956
1998-11-30,1176.739990
1998-12-07,1166.459961
1998-12-14,1188.030029
1998-12-21,1226.270020
1998-12-28,1229.229980
1999-01-04,1275.089966
1999-01-11,1243.260010
1999-01-18,1225.189941
1999-01-25,1279.640015
1999-02-01,1239.400024
1999-02-08,1230.130005
1999-02-15,1239.219971
1999-02-22,1238.329956
1999-03-01,1275.469971
1999-03-08,1294.589966
1999-03-15,1299.290039
1999-03-22,1282.800049
1999-03-29,1293.719971
1999-04-05,1348.349976
1999-04-12,1319.000000
1999-04-19,1356.849976
1999-04-26,1335.180054
1999-05-03,1345.000000
1999-05-10,1337.800049
1999-05-17,1330.290039
1999-05-24,1301.839966
1999-05-31,1327.750000
1999-06-07,1293.640015
1999-06-14,1342.839966
1999-06-21,1315.310059
1999-06-28,1391.219971
1999-07-05,1403.280029
1999-07-12,1418.780029
1999-07-19,1356.939941
1999-07-26,1328.719971
1999-08-02,1300.290039
1999-08-09,1327.680054
1999-08-16,1336.609985
1999-08-23,1348.270020
1999-08-30,1357.239990
1999-09-06,1351.660034
1999-09-13,1335.420044
1999-09-20,1277.359985
1999-09-27,1282.810059
1999-10-04,1336.020020
1999-10-11,1247.410034
1999-10-18,1301.650024
1999-10-25,1362.930054
1999-11-01,1370.229980
1999-11-08,1396.060059
1999-11-15,1422.000000
1999-11-22,1416.619995
